task,direction,channel,time_s,amplitude
2,-1,Fz,0.125,-0.2459105563491718
2,-1,Fz,0.12890625,-0.5051545086873195
2,-1,Fz,0.1328125,-0.8259628585909189
2,-1,Fz,0.13671875,-1.1332899524884796
2,-1,Fz,0.140625,-1.4103042096686005
2,-1,Fz,0.14453125,-1.5019140193898683
2,-1,Fz,0.1484375,-1.5310286757000648
2,-1,Fz,0.15234375,-1.4771165839309985
2,-1,Fz,0.15625,-1.344570023845006
2,-1,Fz,0.16015625,-1.1596357586765798
2,-1,Fz,0.1640625,-0.9871731010109394
2,-1,Fz,0.16796875,-0.9598743476006826
2,-1,Fz,0.171875,-1.0356684492462145
2,-1,Fz,0.17578125,-1.2591585588798413
2,-1,Fz,0.1796875,-1.5331880017282362
2,-1,Fz,0.18359375,-1.8497332433077325
2,-1,Fz,0.1875,-2.255659596156039
2,-1,Fz,0.19140625,-2.594112325616782
2,-1,Fz,0.1953125,-2.7861261481587825
2,-1,Fz,0.19921875,-2.8648851167575002
2,-1,Fz,0.203125,-2.934474252581323
2,-1,Fz,0.20703125,-3.0490704347229
2,-1,Fz,0.2109375,-3.2417707099450457
2,-1,Fz,0.21484375,-3.5342077833992254
2,-1,Fz,0.21875,-3.8502373333046918
2,-1,Fz,0.22265625,-4.186031078756003
2,-1,Fz,0.2265625,-4.493437640474111
2,-1,Fz,0.23046875,-4.738225041291267
2,-1,Fz,0.234375,-4.845129231567214
2,-1,Fz,0.23828125,-4.673328791030972
2,-1,Fz,0.2421875,-4.295279157633387
2,-1,Fz,0.24609375,-3.7508795769965895
2,-1,Fz,0.25,-3.158533898102321
2,-1,Fz,0.25390625,-2.6437398714468707
2,-1,Fz,0.2578125,-2.136587439886606
2,-1,Fz,0.26171875,-1.5776014372981897
2,-1,Fz,0.265625,-0.9328669489808099
2,-1,Fz,0.26953125,-0.2503793122751461
2,-1,Fz,0.2734375,0.4048959563665304
2,-1,Fz,0.27734375,0.9823042041869494
2,-1,Fz,0.28125,1.4276912330425129
2,-1,Fz,0.28515625,1.8687565215556385
2,-1,Fz,0.2890625,2.307297166397961
2,-1,Fz,0.29296875,2.757380259945984
2,-1,Fz,0.296875,3.2695483246185377
2,-1,Fz,0.30078125,3.70459740483747
2,-1,Fz,0.3046875,4.029389477014496
2,-1,Fz,0.30859375,4.105849498590964
2,-1,Fz,0.3125,4.017525650870583
2,-1,Fz,0.31640625,3.878423119351427
2,-1,Fz,0.3203125,3.7189038334407707
2,-1,Fz,0.32421875,3.64779087401637
2,-1,Fz,0.328125,3.700133745180721
2,-1,Fz,0.33203125,3.9622795797407395
2,-1,Fz,0.3359375,4.269424428555943
2,-1,Fz,0.33984375,4.5631752424245455
2,-1,Fz,0.34375,4.785309196082059
2,-1,Fz,0.34765625,4.715221814791295
2,-1,Fz,0.3515625,4.465517767739708
2,-1,Fz,0.35546875,4.081864818883944
2,-1,Fz,0.359375,3.578319067203376
2,-1,Fz,0.36328125,3.241676753046265
2,-1,Fz,0.3671875,3.082593955011987
2,-1,Fz,0.37109375,3.0863491077560683
2,-1,Fz,0.375,3.1842236263276384
2,-1,Fz,0.37890625,3.188273921296958
2,-1,Fz,0.3828125,3.2131674105940236
2,-1,Fz,0.38671875,3.037233298523239
2,-1,Fz,0.390625,2.6194339175867936
2,-1,Fz,0.39453125,2.146850588140318
2,-1,Fz,0.3984375,1.4428115071049694
2,-1,Fz,0.40234375,0.7655726619018779
2,-1,Fz,0.40625,0.1614620368222468
2,-1,Fz,0.41015625,-0.45079280477382166
2,-1,Fz,0.4140625,-0.9224564738758785
2,-1,Fz,0.41796875,-1.3166462294393106
2,-1,Fz,0.421875,-1.5148388505788466
2,-1,Fz,0.42578125,-1.5797184174990013
2,-1,Fz,0.4296875,-1.4486327246450692
2,-1,Fz,0.43359375,-1.1929665299016907
2,-1,Fz,0.4375,-0.9385725205922606
2,-1,Fz,0.44140625,-0.5055788080531256
2,-1,Fz,0.4453125,-0.05548639837076319
2,-1,Fz,0.44921875,0.36415565278467277
2,-1,Fz,0.453125,0.7451149702078537
2,-1,Fz,0.45703125,1.0716839660718067
2,-1,Fz,0.4609375,1.4515672904453956
2,-1,Fz,0.46484375,2.0014729799282946
2,-1,Fz,0.46875,2.8356522715325836
2,-1,Fz,0.47265625,3.953298954742329
2,-1,Fz,0.4765625,5.329693483367522
2,-1,Fz,0.48046875,6.84738912231551
2,-1,Fz,0.484375,8.369561380273742
2,-1,Fz,0.48828125,9.828696052655502
2,-1,Fz,0.4921875,11.156028800184995
2,-1,Fz,0.49609375,12.340225106915444
2,-1,Fz,0.5,13.44864665882425
2,-1,Fz,0.50390625,14.57905428331447
2,-1,Fz,0.5078125,15.779482823937766
2,-1,Fz,0.51171875,17.19425352767972
2,-1,Fz,0.515625,18.932721148761555
2,-1,Fz,0.51953125,20.759491272632946
2,-1,Fz,0.5234375,22.65518779796144
2,-1,Fz,0.52734375,24.506769347817773
2,-1,Fz,0.53125,26.245702721505996
2,-1,Fz,0.53515625,28.027764514563366
2,-1,Fz,0.5390625,29.780601585366764
2,-1,Fz,0.54296875,31.657276811695375
2,-1,Fz,0.546875,33.70130443609753
2,-1,Fz,0.55078125,35.936387792641554
2,-1,Fz,0.5546875,38.30666542854968
2,-1,Fz,0.55859375,40.78915198313366
2,-1,Fz,0.5625,43.450254215702955
2,-1,Fz,0.56640625,46.042277101174406
2,-1,Fz,0.5703125,48.58858875044901
2,-1,Fz,0.57421875,50.98954618006442
2,-1,Fz,0.578125,53.10281237985798
2,-1,Fz,0.58203125,55.17733311930215
2,-1,Fz,0.5859375,57.21549571427012
2,-1,Fz,0.58984375,59.16978957829721
2,-1,Fz,0.59375,61.166217017973395
2,-1,Fz,0.59765625,63.19666656303359
2,-1,Fz,0.6015625,65.16819511415127
2,-1,Fz,0.60546875,67.09356033363903
2,-1,Fz,0.609375,68.91560009877468
2,-1,Fz,0.61328125,70.47668515513854
2,-1,Fz,0.6171875,71.86662594913778
2,-1,Fz,0.62109375,73.1215296911969
2,-1,Fz,0.625,74.17139719181174
2,-1,Fz,0.62890625,75.14747527999685
2,-1,Fz,0.6328125,76.10583273893482
2,-1,Fz,0.63671875,77.05660440507421
2,-1,Fz,0.640625,78.1145420288495
2,-1,Fz,0.64453125,79.25812342087174
2,-1,Fz,0.6484375,80.4038081717235
2,-1,Fz,0.65234375,81.42242564750288
2,-1,Fz,0.65625,82.20500807439907
2,-1,Fz,0.66015625,82.80381608788736
2,-1,Fz,0.6640625,83.21265482865815
2,-1,Fz,0.66796875,83.41467805584716
2,-1,Fz,0.671875,83.4559437324672
2,-1,Fz,0.67578125,83.309483286746
2,-1,Fz,0.6796875,83.00805683482207
2,-1,Fz,0.68359375,82.63949727160107
2,-1,Fz,0.6875,82.14515661643057
2,-1,Fz,0.69140625,81.55031426181242
2,-1,Fz,0.6953125,80.98297760348358
2,-1,Fz,0.69921875,80.48007987139286
2,-1,Fz,0.703125,80.11989704759002
2,-1,Fz,0.70703125,79.8936679168488
2,-1,Fz,0.7109375,79.65056478327266
2,-1,Fz,0.71484375,79.34491482417832
2,-1,Fz,0.71875,78.87459236186488
2,-1,Fz,0.72265625,78.28557211479594
2,-1,Fz,0.7265625,77.76244977155997
2,-1,Fz,0.73046875,77.39114567948818
2,-1,Fz,0.734375,77.27311994063496
2,-1,Fz,0.73828125,77.34095753087243
2,-1,Fz,0.7421875,77.38804468418127
2,-1,Fz,0.74609375,77.32283425209937
2,-1,Fz,0.75,77.10764256518081
2,-1,Fz,0.75390625,76.61430527868697
2,-1,Fz,0.7578125,75.92394893718483
2,-1,Fz,0.76171875,75.11583155311428
2,-1,Fz,0.765625,74.18859963736921
2,-1,Fz,0.76953125,73.27946555849692
2,-1,Fz,0.7734375,72.54106110206406
2,-1,Fz,0.77734375,71.9548995742331
2,-1,Fz,0.78125,71.43722821163584
2,-1,Fz,0.78515625,71.14460572491016
2,-1,Fz,0.7890625,70.88602661595634
2,-1,Fz,0.79296875,70.55036119930142
