task,direction,source,time_s,value
2,1,C,0.00390625,0.0
2,1,C,0.0078125,6.051110943186287e-08
2,1,C,0.01171875,2.98270764959378e-07
2,1,C,0.015625,8.238334776030382e-07
2,1,C,0.01953125,1.741782125102996e-06
2,1,C,0.0234375,3.1509366255115024e-06
2,1,C,0.02734375,5.144559452596532e-06
2,1,C,0.03125,7.810557539221242e-06
2,1,C,0.03515625,1.1231680191986728e-05
2,1,C,0.0390625,1.5485712709566106e-05
2,1,C,0.04296875,2.0645665458831912e-05
2,1,C,0.046875,2.6779958217620904e-05
2,1,C,0.05078125,3.3952599641329866e-05
2,1,C,0.0546875,4.2223361753025246e-05
2,1,C,0.05859375,5.164794939389548e-05
2,1,C,0.0625,6.227816460317244e-05
2,1,C,0.06640625,7.416206592456789e-05
2,1,C,0.0703125,8.734412266025135e-05
2,1,C,0.07421875,0.00010186536411384948
2,1,C,0.078125,0.00011776352388125204
2,1,C,0.08203125,0.0001350731792625164
2,1,C,0.0859375,0.00015382588588018956
2,1,C,0.08984375,0.00017405030759920541
2,1,C,0.09375,0.00019577234185142898
2,1,C,0.09765625,0.00021901524047414575
2,1,C,0.1015625,0.0002437997261765485
2,1,C,0.10546875,0.00027014410475174763
2,1,C,0.109375,0.0002980643731541947
2,1,C,0.11328125,0.00032757432356381736
2,1,C,0.1171875,0.00035868564355875205
2,1,C,0.12109375,0.00039140801251844894
2,1,C,0.125,0.0004257491943782196
2,1,C,0.12890625,0.00046171512685509383
2,1,C,0.1328125,0.0004993100072632325
2,1,C,0.13671875,0.0005385363750351787
2,1,C,0.140625,0.0005793951910629844
2,1,C,0.14453125,0.00111151921576163
2,1,C,0.1484375,0.0021222900147091963
2,1,C,0.15234375,0.0035788513426450903
2,1,C,0.15625,0.005445844000034939
2,1,C,0.16015625,0.007686920957937516
2,1,C,0.1640625,0.010265982094604845
2,1,C,0.16796875,0.01314811132615502
2,1,C,0.171875,0.016300233680226053
2,1,C,0.17578125,0.019691530165613935
2,1,C,0.1796875,0.023293656762862765
2,1,C,0.18359375,0.027080814088868026
2,1,C,0.1875,0.03102970964622755
2,1,C,0.19140625,0.035119447673544184
2,1,C,0.1953125,0.03933137422463469
2,1,C,0.19921875,0.043648898244147936
2,1,C,0.203125,0.04805730355830312
2,1,C,0.20703125,0.05254356200047573
2,1,C,0.2109375,0.05709615428496847
2,1,C,0.21484375,0.06170490257917008
2,1,C,0.21875,0.06636081682655048
2,1,C,0.22265625,0.07105595556898955
2,1,C,0.2265625,0.07578330115766596
2,1,C,0.23046875,0.08053664870555616
2,1,C,0.234375,0.0853105078266748
2,1,C,0.23828125,0.09010001605597986
2,1,C,0.2421875,0.09490086279683797
2,1,C,0.24609375,0.09970922266242604
2,1,C,0.25,0.10452169713701526
2,1,C,0.25390625,0.10933526356463236
2,1,C,0.2578125,0.11414723056401918
2,1,C,0.26171875,0.11895519906227989
2,1,C,0.265625,0.12375702823025728
2,1,C,0.26953125,0.12855080568769217
2,1,C,0.2734375,0.13333482142413777
2,1,C,0.27734375,0.13810754495186017
2,1,C,0.28125,0.14286760526955988
2,1,C,0.28515625,0.14761377327103728
2,1,C,0.2890625,0.15234494628142853
2,1,C,0.29296875,0.15706013444597672
2,1,C,0.296875,0.1617584487331195
2,1,C,0.30078125,0.16643909034560114
2,1,C,0.3046875,0.1711013413609449
2,1,C,0.30859375,0.17574455644649825
2,1,C,0.3125,0.18036815551487606
2,1,C,0.31640625,0.18497161720341443
2,1,C,0.3203125,0.18955447307659345
2,1,C,0.32421875,0.19411630246362707
2,1,C,0.328125,0.19865672785484495
2,1,C,0.33203125,0.20317541079035742
2,1,C,0.3359375,0.20767204818301935
2,1,C,0.33984375,0.21214636902507938
2,1,C,0.34375,0.21659813143427958
2,1,C,0.34765625,0.22102712000069605
2,1,C,0.3515625,0.22543314340040205
2,1,C,0.35546875,0.22981603224619407
2,1,C,0.359375,0.23417563714923573
2,1,C,0.36328125,0.23851182696861853
2,1,C,0.3671875,0.2428244872285784
2,1,C,0.37109375,0.2471135186854955
2,1,C,0.375,0.25137883602889105
2,1,C,0.37890625,0.25562036670245963
2,1,C,0.3828125,0.2598380498327718
2,1,C,0.38671875,0.26403183525468177
2,1,C,0.390625,0.26820168262370414
2,1,C,0.39453125,0.2723475606067028
2,1,C,0.3984375,0.27646944614318525
2,1,C,0.40234375,0.2805673237703336
2,1,C,0.40625,0.28464118500564056
2,1,C,0.41015625,0.28869102778167216
2,1,C,0.4140625,0.2927168559280556
2,1,C,0.41796875,0.2967186786963004
2,1,C,0.421875,0.30069651032351596
2,1,C,0.42578125,0.3046503696314877
2,1,C,0.4296875,0.3085802796579343
2,1,C,0.43359375,0.3124862673170831
2,1,C,0.4375,0.31636836308698785
2,1,C,0.44140625,0.32022660072126036
2,1,C,0.4453125,0.32406101698311846
2,1,C,0.44921875,0.3278716513998498
2,1,C,0.453125,0.33165854603597406
2,1,C,0.45703125,0.3354217452835462
2,1,C,0.4609375,0.339161295668189
2,1,C,0.46484375,0.34287724566957295
2,1,C,0.46875,0.34656964555517855
2,1,C,0.47265625,0.3502385472262808
2,1,C,0.4765625,0.35388400407519105
2,1,C,0.48046875,0.3575060708528764
2,1,C,0.484375,0.3611048035461537
2,1,C,0.48828125,0.3646802592637253
2,1,C,0.4921875,0.36823249613038617
2,1,C,0.49609375,0.3717615731887891
2,1,C,0.5,0.3752675503082069
2,1,C,0.50390625,0.37875048809977585
2,1,C,0.5078125,0.382210447837749
2,1,C,0.51171875,0.3856474913863248
2,1,C,0.515625,0.3890616811316532
2,1,C,0.51953125,0.39245307991865136
2,1,C,0.5234375,0.39582175099229255
2,1,C,0.52734375,0.39916775794305615
