outer,inner_block,scheme,alpha,size,family,parameter,n,accuracy,balanced_accuracy,macro_f1,auc,left_recall,right_recall,left_left,left_right,right_left,right_right
cross_A_to_B,0,source,1e-05,6,logistic,10.0,34,0.47058823529411764,0.4642857142857143,0.4631578947368421,0.55,0.5,0.42857142857142855,10,10,8,6
cross_A_to_B,0,source,1e-05,6,svm,0.01,34,0.5882352941176471,0.575,0.575,0.5357142857142858,0.65,0.5,13,7,7,7
cross_A_to_B,0,source,1e-05,6,svm,0.1,34,0.47058823529411764,0.4642857142857143,0.4631578947368421,0.5464285714285715,0.5,0.42857142857142855,10,10,8,6
cross_A_to_B,0,source,1e-05,6,svm,1.0,34,0.47058823529411764,0.4642857142857143,0.4631578947368421,0.5464285714285715,0.5,0.42857142857142855,10,10,8,6
cross_A_to_B,0,source,1e-05,6,svm,10.0,34,0.47058823529411764,0.4642857142857143,0.4631578947368421,0.5464285714285715,0.5,0.42857142857142855,10,10,8,6
cross_A_to_B,0,source,1e-05,6,lda,0.1,34,0.5294117647058824,0.525,0.5228070175438597,0.5464285714285714,0.55,0.5,11,9,7,7
cross_A_to_B,0,source,1e-05,6,lda,0.5,34,0.5882352941176471,0.575,0.575,0.5428571428571428,0.65,0.5,13,7,7,7
cross_A_to_B,0,source,1e-05,6,lda,0.9,34,0.5588235294117647,0.5392857142857143,0.5392953929539295,0.5357142857142858,0.65,0.42857142857142855,13,7,8,6
cross_A_to_B,0,source,1e-05,12,logistic,0.01,34,0.5294117647058824,0.5142857142857142,0.5142857142857142,0.5035714285714286,0.6,0.42857142857142855,12,8,8,6
cross_A_to_B,0,source,1e-05,12,logistic,0.1,34,0.5294117647058824,0.5142857142857142,0.5142857142857142,0.5321428571428571,0.6,0.42857142857142855,12,8,8,6
cross_A_to_B,0,source,1e-05,12,logistic,1.0,34,0.5,0.4892857142857143,0.48894783377541995,0.575,0.55,0.42857142857142855,11,9,8,6
cross_A_to_B,0,source,1e-05,12,logistic,10.0,34,0.5,0.4892857142857143,0.48894783377541995,0.5821428571428571,0.55,0.42857142857142855,11,9,8,6
cross_A_to_B,0,source,1e-05,12,svm,0.01,34,0.5294117647058824,0.5142857142857142,0.5142857142857142,0.5285714285714286,0.6,0.42857142857142855,12,8,8,6
cross_A_to_B,0,source,1e-05,12,svm,0.1,34,0.5,0.4892857142857143,0.48894783377541995,0.5678571428571428,0.55,0.42857142857142855,11,9,8,6
cross_A_to_B,0,source,1e-05,12,svm,1.0,34,0.5,0.4892857142857143,0.48894783377541995,0.5821428571428571,0.55,0.42857142857142855,11,9,8,6
cross_A_to_B,0,source,1e-05,12,svm,10.0,34,0.5,0.4892857142857143,0.48894783377541995,0.5821428571428571,0.55,0.42857142857142855,11,9,8,6
cross_A_to_B,0,source,1e-05,12,lda,0.1,34,0.5294117647058824,0.5142857142857142,0.5142857142857142,0.5535714285714286,0.6,0.42857142857142855,12,8,8,6
cross_A_to_B,0,source,1e-05,12,lda,0.5,34,0.5,0.4892857142857143,0.48894783377541995,0.525,0.55,0.42857142857142855,11,9,8,6
cross_A_to_B,0,source,1e-05,12,lda,0.9,34,0.5882352941176471,0.575,0.575,0.5,0.65,0.5,13,7,7,7
cross_A_to_B,0,combined,1e-05,8,logistic,0.01,34,0.5588235294117647,0.5607142857142857,0.5553618134263296,0.5535714285714286,0.55,0.5714285714285714,11,9,6,8
cross_A_to_B,0,combined,1e-05,8,logistic,0.1,34,0.5588235294117647,0.5821428571428572,0.5584415584415584,0.5392857142857144,0.45,0.7142857142857143,9,11,4,10
cross_A_to_B,0,combined,1e-05,8,logistic,1.0,34,0.5588235294117647,0.5928571428571429,0.5553618134263296,0.5428571428571429,0.4,0.7857142857142857,8,12,3,11
cross_A_to_B,0,combined,1e-05,8,logistic,10.0,34,0.5294117647058824,0.5678571428571428,0.5228070175438597,0.5428571428571428,0.35,0.7857142857142857,7,13,3,11
cross_A_to_B,0,combined,1e-05,8,svm,0.01,34,0.5588235294117647,0.5821428571428572,0.5584415584415584,0.5428571428571428,0.45,0.7142857142857143,9,11,4,10
cross_A_to_B,0,combined,1e-05,8,svm,0.1,34,0.5588235294117647,0.5928571428571429,0.5553618134263296,0.5285714285714286,0.4,0.7857142857142857,8,12,3,11
cross_A_to_B,0,combined,1e-05,8,svm,1.0,34,0.5294117647058824,0.5678571428571428,0.5228070175438597,0.5464285714285715,0.35,0.7857142857142857,7,13,3,11
